layer,head,pert_raw_l2,pert_relative_l2,pert_cosine_distance,pert_standardized_l2
11,1,1.130136251449585,0.29135486483573914,0.042996615171432495,7.4712042808532715
11,2,1.7265150547027588,0.5758928060531616,0.14726923406124115,7.166649341583252
11,3,0.9201832413673401,0.2913813591003418,0.027374878525733948,7.74317741394043
11,4,0.696098268032074,0.20278505980968475,0.0166610199958086,7.721632480621338
11,5,0.6091097593307495,0.2860428988933563,0.03888607397675514,7.254098415374756
11,6,1.1460102796554565,0.38426005840301514,0.07168228179216385,7.273631572723389
11,7,0.444864422082901,0.19543668627738953,0.016234764829277992,7.821537971496582
11,8,1.1944867372512817,0.1465209424495697,0.011181464418768883,7.754822254180908
11,9,0.8048389554023743,0.3453483283519745,0.03884110227227211,7.554505825042725
11,10,5.110020637512207,0.8640387058258057,0.39162808656692505,7.577980995178223
11,11,0.9871369004249573,0.34782326221466064,0.05760518088936806,7.8815999031066895
