layer,head,importance_metric,imp_value,pert_value,hi_imp,hi_pert,cell,imp_median,pert_median,in_gt_circuit,gt_subclass
5,0,abs,0.0002827513205102272,0.34369850158691406,True,True,A,0.00017259515816164805,0.08915162831544876,False,
5,1,abs,0.0023861861718955657,0.7384292483329773,True,True,A,0.00017259515816164805,0.08915162831544876,False,
5,2,abs,0.00020023677166847165,0.07716702669858932,True,False,B,0.00017259515816164805,0.08915162831544876,False,
5,3,abs,5.8903468633103584e-05,0.07823270559310913,False,False,D,0.00017259515816164805,0.08915162831544876,False,
5,4,abs,0.0005277642429015739,0.1110561266541481,True,True,A,0.00017259515816164805,0.08915162831544876,False,
5,5,abs,0.004112689024422023,0.6585696935653687,True,True,A,0.00017259515816164805,0.08915162831544876,False,
5,6,abs,4.841325594223678e-06,0.09825076907873154,False,True,C,0.00017259515816164805,0.08915162831544876,False,
5,7,abs,1.4613129877716347e-05,0.0914406105875969,False,True,C,0.00017259515816164805,0.08915162831544876,False,
5,8,abs,0.0004403446096946928,0.304468035697937,True,True,A,0.00017259515816164805,0.08915162831544876,False,
5,9,abs,0.0006962858326286792,0.2334199845790863,True,True,A,0.00017259515816164805,0.08915162831544876,False,
5,10,abs,0.0001311714627840188,0.06919758766889572,False,False,D,0.00017259515816164805,0.08915162831544876,False,
5,11,abs,0.0003351611092810569,0.2367076724767685,True,True,A,0.00017259515816164805,0.08915162831544876,False,
6,0,abs,0.00015239520851395572,0.10470744222402573,False,True,C,0.00017259515816164805,0.08915162831544876,False,
6,1,abs,0.0005208421360359261,0.3523666262626648,True,True,A,0.00017259515816164805,0.08915162831544876,False,
6,2,abs,5.848345174142011e-05,0.2132149338722229,False,True,C,0.00017259515816164805,0.08915162831544876,False,
6,3,abs,0.00019454659229184434,0.037782877683639526,True,False,B,0.00017259515816164805,0.08915162831544876,False,
6,4,abs,0.0007256170077118707,0.1885543018579483,True,True,A,0.00017259515816164805,0.08915162831544876,False,
6,5,abs,9.066797359763568e-05,0.1677408367395401,False,True,C,0.00017259515816164805,0.08915162831544876,False,
6,6,abs,0.0007838772214825152,0.12192098796367645,True,True,A,0.00017259515816164805,0.08915162831544876,False,
6,7,abs,0.00017257078412968863,0.10686863213777542,False,True,C,0.00017259515816164805,0.08915162831544876,False,
6,8,abs,0.00024353806727217542,0.10228515416383743,True,True,A,0.00017259515816164805,0.08915162831544876,False,
6,9,abs,0.003639003903759319,0.9234580993652344,True,True,A,0.00017259515816164805,0.08915162831544876,False,
6,10,abs,4.393781956452125e-05,0.021894048899412155,False,False,D,0.00017259515816164805,0.08915162831544876,False,
6,11,abs,0.0004333926438547797,0.1258489191532135,True,True,A,0.00017259515816164805,0.08915162831544876,False,
7,0,abs,2.241337568448243e-05,0.09828316420316696,False,True,C,0.00017259515816164805,0.08915162831544876,False,
7,1,abs,7.601639632584534e-05,0.01652691885828972,False,False,D,0.00017259515816164805,0.08915162831544876,False,
7,2,abs,0.00018465501147033048,0.25776925683021545,True,True,A,0.00017259515816164805,0.08915162831544876,False,
7,3,abs,0.00026998928218036067,0.08916211873292923,True,True,A,0.00017259515816164805,0.08915162831544876,False,
7,4,abs,2.9107197427130638e-05,0.01049541961401701,False,False,D,0.00017259515816164805,0.08915162831544876,False,
7,5,abs,1.0709913891571166e-06,0.09408888965845108,False,True,C,0.00017259515816164805,0.08915162831544876,False,
