group,ratio,k,k_actual,prompt_id,delta_ld_signed
C_imp_asc,0.07,11,11,62,-14.26714038848877
C_imp_asc,0.07,11,11,63,-9.647537231445312
C_imp_asc,0.07,11,11,64,-10.859318733215332
C_imp_asc,0.07,11,11,65,-12.565855979919434
C_imp_asc,0.07,11,11,66,-10.038171768188477
C_imp_asc,0.07,11,11,67,-5.894377708435059
C_imp_asc,0.07,11,11,68,-9.417015075683594
C_imp_asc,0.07,11,11,69,-6.082324028015137
C_imp_asc,0.07,11,11,70,-10.284845352172852
C_imp_asc,0.07,11,11,71,-11.118522644042969
C_imp_asc,0.07,11,11,72,-9.364973068237305
C_imp_asc,0.07,11,11,73,-8.33872127532959
C_imp_asc,0.07,11,11,74,-7.601996421813965
C_imp_asc,0.07,11,11,75,-12.263105392456055
C_imp_asc,0.07,11,11,76,-15.270030975341797
C_imp_asc,0.07,11,11,77,-11.979227066040039
C_imp_asc,0.07,11,11,78,-8.703349113464355
C_imp_asc,0.07,11,11,79,-5.250181198120117
C_imp_asc,0.07,11,11,80,-10.400800704956055
C_imp_asc,0.07,11,11,81,-5.441347122192383
C_imp_asc,0.07,11,11,82,-9.526430130004883
C_imp_asc,0.07,11,11,83,-11.34706974029541
C_imp_asc,0.07,11,11,84,-10.748528480529785
C_imp_asc,0.07,11,11,85,-12.123604774475098
C_imp_asc,0.07,11,11,86,-5.705400466918945
C_imp_asc,0.07,11,11,87,-6.754416465759277
C_imp_asc,0.07,11,11,88,-7.057772636413574
C_imp_asc,0.07,11,11,89,-7.626439094543457
C_imp_asc,0.07,11,11,90,-7.3926897048950195
C_imp_asc,0.07,11,11,91,-10.527174949645996
C_imp_asc,0.07,11,11,92,-11.543390274047852
C_imp_asc,0.07,11,11,93,-8.898550033569336
C_imp_asc,0.07,11,11,94,-10.08586597442627
C_imp_asc,0.07,11,11,95,-9.595157623291016
C_imp_asc,0.07,11,11,96,-5.746464729309082
C_imp_asc,0.07,11,11,97,-10.246759414672852
C_imp_asc,0.07,11,11,98,-8.671365737915039
C_imp_asc,0.07,11,11,99,-10.085297584533691
C_imp_asc,0.1,15,15,0,-4.966728210449219
C_imp_asc,0.1,15,15,1,-5.8825531005859375
C_imp_asc,0.1,15,15,2,-14.851685523986816
C_imp_asc,0.1,15,15,3,-10.381863594055176
C_imp_asc,0.1,15,15,4,-5.648067474365234
C_imp_asc,0.1,15,15,5,-12.08150863647461
C_imp_asc,0.1,15,15,6,-11.202536582946777
C_imp_asc,0.1,15,15,7,-13.631265640258789
C_imp_asc,0.1,15,15,8,-7.376694679260254
C_imp_asc,0.1,15,15,9,-11.738341331481934
C_imp_asc,0.1,15,15,10,-12.97021770477295
C_imp_asc,0.1,15,15,11,-8.03939151763916
C_imp_asc,0.1,15,15,12,-7.169279098510742
C_imp_asc,0.1,15,15,13,-11.95405101776123
C_imp_asc,0.1,15,15,14,-7.084493637084961
C_imp_asc,0.1,15,15,15,-11.273061752319336
C_imp_asc,0.1,15,15,16,-7.265864372253418
C_imp_asc,0.1,15,15,17,-8.844575881958008
C_imp_asc,0.1,15,15,18,-6.10162353515625
C_imp_asc,0.1,15,15,19,-7.153136253356934
C_imp_asc,0.1,15,15,20,-7.165004730224609
C_imp_asc,0.1,15,15,21,-11.370899200439453
C_imp_asc,0.1,15,15,22,-7.741901397705078
C_imp_asc,0.1,15,15,23,-9.050922393798828
C_imp_asc,0.1,15,15,24,-10.222329139709473
C_imp_asc,0.1,15,15,25,-10.670254707336426
C_imp_asc,0.1,15,15,26,-13.268863677978516
C_imp_asc,0.1,15,15,27,-5.724637031555176
C_imp_asc,0.1,15,15,28,-12.967268943786621
C_imp_asc,0.1,15,15,29,-8.313310623168945
C_imp_asc,0.1,15,15,30,-9.625194549560547
C_imp_asc,0.1,15,15,31,-6.976302146911621
C_imp_asc,0.1,15,15,32,-16.972135543823242
C_imp_asc,0.1,15,15,33,-10.837860107421875
C_imp_asc,0.1,15,15,34,-10.57931900024414
C_imp_asc,0.1,15,15,35,-9.32928466796875
C_imp_asc,0.1,15,15,36,-11.717399597167969
C_imp_asc,0.1,15,15,37,-8.084733009338379
C_imp_asc,0.1,15,15,38,-8.590261459350586
C_imp_asc,0.1,15,15,39,-8.54018783569336
C_imp_asc,0.1,15,15,40,-7.9974870681762695
C_imp_asc,0.1,15,15,41,-6.274707794189453
C_imp_asc,0.1,15,15,42,-9.686712265014648
C_imp_asc,0.1,15,15,43,-6.93558406829834
C_imp_asc,0.1,15,15,44,-11.951683044433594
C_imp_asc,0.1,15,15,45,-10.7958402633667
C_imp_asc,0.1,15,15,46,-7.164945602416992
C_imp_asc,0.1,15,15,47,-8.881512641906738
C_imp_asc,0.1,15,15,48,-11.958393096923828
C_imp_asc,0.1,15,15,49,-10.529555320739746
C_imp_asc,0.1,15,15,50,-13.213536262512207
C_imp_asc,0.1,15,15,51,-5.660804748535156
C_imp_asc,0.1,15,15,52,-8.788492202758789
C_imp_asc,0.1,15,15,53,-5.81187629699707
C_imp_asc,0.1,15,15,54,-7.828217506408691
C_imp_asc,0.1,15,15,55,-12.777992248535156
C_imp_asc,0.1,15,15,56,-7.31806755065918
C_imp_asc,0.1,15,15,57,-7.029916763305664
C_imp_asc,0.1,15,15,58,-7.9974870681762695
C_imp_asc,0.1,15,15,59,-7.003558158874512
C_imp_asc,0.1,15,15,60,-11.566178321838379
C_imp_asc,0.1,15,15,61,-13.329925537109375
C_imp_asc,0.1,15,15,62,-14.730223655700684
C_imp_asc,0.1,15,15,63,-10.291446685791016
