layer,head,cell,rsa_max,perturbation_L2,importance_quartile
21,15,hilp,0.6411155462265015,1.776839256286621,Q4
22,0,hihp,0.676602303981781,5.021064281463623,Q4
22,1,hihp,0.6634005904197693,7.00130033493042,Q4
22,2,hilp,0.680595874786377,0.9892487525939941,Q4
22,3,hihp,0.6682479381561279,1.9768567085266113,Q4
22,4,hihp,0.7148545980453491,4.411921501159668,Q4
22,5,hihp,0.6871635913848877,6.206196308135986,Q4
22,6,hihp,0.7271865606307983,7.593463897705078,Q4
22,7,hihp,0.696456789970398,4.12670373916626,Q4
22,8,hihp,0.715140163898468,6.544754981994629,Q4
22,9,hihp,0.7194300889968872,5.617259502410889,Q4
22,10,hihp,0.6549954414367676,3.9542880058288574,Q4
22,11,hihp,0.6560983061790466,3.511091947555542,Q4
22,12,hihp,0.7213903665542603,3.7581636905670166,Q4
22,13,hihp,0.6921872496604919,5.747718811035156,Q4
22,14,hihp,0.6950215697288513,4.719208240509033,Q4
22,15,hihp,0.7194657325744629,3.8543107509613037,Q4
23,0,hilp,0.7301442623138428,0.714408278465271,Q4
23,1,hilp,0.7139154672622681,1.5994588136672974,Q4
23,2,hihp,0.705852746963501,5.051784515380859,Q4
23,3,hihp,0.7074779272079468,10.257295608520508,Q4
23,4,hilp,0.7015508413314819,0.549558162689209,Q4
23,5,hihp,0.7083836793899536,6.94832181930542,Q4
23,6,hihp,0.6076462864875793,3.963467597961426,Q3
23,7,hihp,0.6261040568351746,4.889902114868164,Q3
23,8,hihp,0.630765438079834,2.30468487739563,Q3
23,9,hilp,0.715381383895874,0.8990010023117065,Q4
23,10,hihp,0.7158037424087524,3.961142063140869,Q4
23,11,hihp,0.7284113168716431,2.774538040161133,Q4
23,12,hihp,0.6626747846603394,8.258747100830078,Q4
23,13,hihp,0.7233253717422485,5.5792646408081055,Q4
23,14,hihp,0.7378407120704651,10.533059120178223,Q4
23,15,hihp,0.7356988191604614,11.204316139221191,Q4
24,0,hihp,0.6221211552619934,6.007879257202148,Q3
24,1,hihp,0.7189892530441284,1.9376572370529175,Q4
24,2,hihp,0.74000084400177,3.5904619693756104,Q4
24,3,hihp,0.7393838167190552,6.3978142738342285,Q4
24,4,hihp,0.722308337688446,7.752299785614014,Q4
24,5,hihp,0.6668235063552856,8.628397941589355,Q4
24,6,hihp,0.7062569856643677,2.671504259109497,Q4
24,7,hihp,0.6782259941101074,3.8276686668395996,Q4
24,8,hilp,0.7382605671882629,1.5070672035217285,Q4
24,9,hilp,0.7368496656417847,1.6169769763946533,Q4
24,10,hihp,0.6934624910354614,8.071744918823242,Q4
24,11,hihp,0.7402044534683228,6.579090595245361,Q4
