model,cell,ordering,ratio,argmax_stability,target_top1_stability,mean_target_rank,median_target_rank,mean_margin,mean_abs_delta,n_trials
qwen-2.5-7b-instruct,C,C_imp_asc,0.3,0.7794117647058824,0.1617647058823529,248.5735294117647,7.0,4.519401999080882,0.6183363970588235,68
qwen-2.5-7b-instruct,C,C_imp_asc,0.5,0.7794117647058824,0.1617647058823529,248.5735294117647,7.0,4.519401999080882,0.6183363970588235,68
qwen-2.5-7b-instruct,D,D_imp_asc,0.05,0.9852941176470588,0.1764705882352941,269.3529411764706,7.0,4.857551125919118,0.0591681985294117,68
qwen-2.5-7b-instruct,D,D_imp_asc,0.1,0.9705882352941176,0.1764705882352941,264.5735294117647,7.0,4.857005399816177,0.1130514705882353,68
qwen-2.5-7b-instruct,D,D_imp_asc,0.2,0.9558823529411764,0.1764705882352941,277.02941176470586,7.0,4.860355152803309,0.2068589154411764,68
qwen-2.5-7b-instruct,D,D_imp_asc,0.3,0.9117647058823528,0.1911764705882352,281.0147058823529,6.5,4.851943072150736,0.3405905330882353,68
qwen-2.5-7b-instruct,D,D_imp_asc,0.5,0.8823529411764706,0.2058823529411764,317.05882352941177,6.0,4.846852022058823,0.4217888327205882,68
qwen-2.5-7b-instruct,diag,diag_rank_asc,0.05,0.9852941176470588,0.1764705882352941,286.8235294117647,7.5,4.841387580422794,0.0545151654411764,68
qwen-2.5-7b-instruct,diag,diag_rank_asc,0.1,0.9705882352941176,0.1764705882352941,302.13235294117646,7.0,4.834802964154412,0.0984030330882353,68
qwen-2.5-7b-instruct,diag,diag_rank_asc,0.2,0.9264705882352942,0.1764705882352941,284.25,7.5,4.8479757869944855,0.1935891544117647,68
qwen-2.5-7b-instruct,diag,diag_rank_asc,0.3,0.8823529411764706,0.1911764705882352,283.0882352941176,8.5,4.795941521139706,0.2938878676470588,68
qwen-2.5-7b-instruct,diag,diag_rank_asc,0.5,0.6764705882352942,0.1764705882352941,248.19117647058823,6.5,4.492288028492647,0.8472541360294118,68
qwen-2.5-7b-instruct,hihp,hihp_imp_asc,0.05,0.8529411764705882,0.1617647058823529,322.25,6.5,4.76617431640625,0.4071116727941176,68
qwen-2.5-7b-instruct,hihp,hihp_imp_asc,0.1,0.7941176470588235,0.1617647058823529,387.1764705882353,6.5,4.653219784007353,0.6798454733455882,68
qwen-2.5-7b-instruct,hihp,hihp_imp_asc,0.2,0.6176470588235294,0.1764705882352941,333.8970588235294,6.0,4.423831715303309,1.3807911592371322,68
qwen-2.5-7b-instruct,hihp,hihp_imp_asc,0.3,0.4117647058823529,0.1764705882352941,660.0441176470588,7.5,3.667738970588236,2.410328584558824,68
qwen-2.5-7b-instruct,hihp,hihp_imp_asc,0.5,0.3235294117647059,0.0294117647058823,3040.323529411765,211.5,-0.1930721507352941,5.540785845588236,68
qwen-2.5-7b-instruct,hihp,hihp_imp_desc,0.05,0.5441176470588235,0.088235294117647,625.5588235294117,38.5,1.6551352108226105,2.702435661764706,68
qwen-2.5-7b-instruct,hihp,hihp_imp_desc,0.1,0.4264705882352941,0.0735294117647058,1301.779411764706,56.5,0.6613913143382353,3.5957318474264706,68
