group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
diag_zscore_asc,0.01,968,968,31,0.007812,0.007812
diag_zscore_asc,0.01,968,968,32,-0.001953,0.001953
diag_zscore_asc,0.01,968,968,33,0.001953,0.001953
diag_zscore_asc,0.01,968,968,34,0.0,0.0
diag_zscore_asc,0.01,968,968,35,0.000977,0.000977
diag_zscore_asc,0.01,968,968,36,0.0,0.0
diag_zscore_asc,0.01,968,968,37,-0.000488,0.000488
diag_zscore_asc,0.01,968,968,38,-0.001953,0.001953
diag_zscore_asc,0.01,968,968,39,0.000977,0.000977
diag_zscore_asc,0.01,968,968,40,0.001953,0.001953
diag_zscore_asc,0.01,968,968,41,0.023438,0.023438
diag_zscore_asc,0.01,968,968,42,0.0,0.0
diag_zscore_asc,0.01,968,968,43,0.0,0.0
diag_zscore_asc,0.01,968,968,44,-0.000977,0.000977
diag_zscore_asc,0.01,968,968,45,0.0,0.0
diag_zscore_asc,0.01,968,968,46,0.015625,0.015625
diag_zscore_asc,0.01,968,968,47,0.001953,0.001953
diag_zscore_asc,0.01,968,968,48,0.004883,0.004883
diag_zscore_asc,0.01,968,968,49,0.015625,0.015625
diag_rank_asc,0.01,968,968,0,0.004883,0.004883
diag_rank_asc,0.01,968,968,1,6.012695,6.012695
diag_rank_asc,0.01,968,968,2,-0.019531,0.019531
diag_rank_asc,0.01,968,968,3,-0.048828,0.048828
diag_rank_asc,0.01,968,968,4,-0.030273,0.030273
diag_rank_asc,0.01,968,968,5,-0.020996,0.020996
diag_rank_asc,0.01,968,968,6,7.026367,7.026367
diag_rank_asc,0.01,968,968,7,-0.017578,0.017578
diag_rank_asc,0.01,968,968,8,-0.004883,0.004883
diag_rank_asc,0.01,968,968,9,-0.00293,0.00293
diag_rank_asc,0.01,968,968,10,0.003967,0.003967
diag_rank_asc,0.01,968,968,11,0.007812,0.007812
diag_rank_asc,0.01,968,968,12,-0.004883,0.004883
diag_rank_asc,0.01,968,968,13,-0.008057,0.008057
diag_rank_asc,0.01,968,968,14,-0.004883,0.004883
diag_rank_asc,0.01,968,968,15,-0.000977,0.000977
diag_rank_asc,0.01,968,968,16,0.015625,0.015625
diag_rank_asc,0.01,968,968,17,0.002197,0.002197
diag_rank_asc,0.01,968,968,18,-0.078125,0.078125
diag_rank_asc,0.01,968,968,19,0.001953,0.001953
diag_rank_asc,0.01,968,968,20,0.008789,0.008789
diag_rank_asc,0.01,968,968,21,0.007812,0.007812
diag_rank_asc,0.01,968,968,22,0.001953,0.001953
diag_rank_asc,0.01,968,968,23,0.005859,0.005859
diag_rank_asc,0.01,968,968,24,0.004883,0.004883
diag_rank_asc,0.01,968,968,25,0.003906,0.003906
diag_rank_asc,0.01,968,968,26,-0.054688,0.054688
diag_rank_asc,0.01,968,968,27,0.0,0.0
diag_rank_asc,0.01,968,968,28,-0.003906,0.003906
diag_rank_asc,0.01,968,968,29,0.000977,0.000977
diag_rank_asc,0.01,968,968,30,0.001465,0.001465
diag_rank_asc,0.01,968,968,31,-0.015625,0.015625
diag_rank_asc,0.01,968,968,32,0.0,0.0
diag_rank_asc,0.01,968,968,33,0.003418,0.003418
diag_rank_asc,0.01,968,968,34,-0.001953,0.001953
diag_rank_asc,0.01,968,968,35,0.00293,0.00293
diag_rank_asc,0.01,968,968,36,-0.015625,0.015625
diag_rank_asc,0.01,968,968,37,0.00293,0.00293
diag_rank_asc,0.01,968,968,38,-0.011719,0.011719
diag_rank_asc,0.01,968,968,39,0.000977,0.000977
diag_rank_asc,0.01,968,968,40,0.00293,0.00293
diag_rank_asc,0.01,968,968,41,0.023438,0.023438
diag_rank_asc,0.01,968,968,42,0.000488,0.000488
diag_rank_asc,0.01,968,968,43,0.00293,0.00293
diag_rank_asc,0.01,968,968,44,0.006836,0.006836
diag_rank_asc,0.01,968,968,45,0.003906,0.003906
diag_rank_asc,0.01,968,968,46,0.007812,0.007812
diag_rank_asc,0.01,968,968,47,0.00293,0.00293
diag_rank_asc,0.01,968,968,48,-0.012695,0.012695
diag_rank_asc,0.01,968,968,49,0.015625,0.015625
C_imp_asc,0.03,2904,2904,0,0.035156,0.035156
C_imp_asc,0.03,2904,2904,1,6.543945,6.543945
C_imp_asc,0.03,2904,2904,2,0.076172,0.076172
C_imp_asc,0.03,2904,2904,3,-0.023438,0.023438
C_imp_asc,0.03,2904,2904,4,-0.053711,0.053711
C_imp_asc,0.03,2904,2904,5,0.05249,0.05249
C_imp_asc,0.03,2904,2904,6,6.987305,6.987305
C_imp_asc,0.03,2904,2904,7,0.002441,0.002441
C_imp_asc,0.03,2904,2904,8,0.084961,0.084961
C_imp_asc,0.03,2904,2904,9,0.085693,0.085693
C_imp_asc,0.03,2904,2904,10,0.054688,0.054688
C_imp_asc,0.03,2904,2904,11,0.929688,0.929688
C_imp_asc,0.03,2904,2904,12,0.019531,0.019531
C_imp_asc,0.03,2904,2904,13,0.105225,0.105225
C_imp_asc,0.03,2904,2904,14,-0.007812,0.007812
C_imp_asc,0.03,2904,2904,15,0.069824,0.069824
C_imp_asc,0.03,2904,2904,16,0.492188,0.492188
C_imp_asc,0.03,2904,2904,17,0.125244,0.125244
C_imp_asc,0.03,2904,2904,18,-0.546875,0.546875
C_imp_asc,0.03,2904,2904,19,0.029297,0.029297
C_imp_asc,0.03,2904,2904,20,0.055664,0.055664
C_imp_asc,0.03,2904,2904,21,-2.015625,2.015625
C_imp_asc,0.03,2904,2904,22,0.060547,0.060547
C_imp_asc,0.03,2904,2904,23,0.025391,0.025391
C_imp_asc,0.03,2904,2904,24,0.097656,0.097656
C_imp_asc,0.03,2904,2904,25,0.083008,0.083008
C_imp_asc,0.03,2904,2904,26,-0.757812,0.757812
C_imp_asc,0.03,2904,2904,27,0.060547,0.060547
C_imp_asc,0.03,2904,2904,28,-0.010742,0.010742
C_imp_asc,0.03,2904,2904,29,0.058838,0.058838
C_imp_asc,0.03,2904,2904,30,0.078613,0.078613
