group,ratio,k,k_actual,prompt_id,delta_loss_signed
C_imp_asc,0.03,5,5,151,-1.0371305064151173
C_imp_asc,0.03,5,5,152,-1.429826987417119
C_imp_asc,0.03,5,5,153,-2.4110737348857683
C_imp_asc,0.03,5,5,154,-0.8824642081009735
C_imp_asc,0.03,5,5,155,-2.196611103258636
C_imp_asc,0.03,5,5,156,-1.9025270562422918
C_imp_asc,0.03,5,5,157,-1.577979288603128
C_imp_asc,0.03,5,5,158,-1.5809236325715723
C_imp_asc,0.03,5,5,159,-2.289146122179531
C_imp_asc,0.03,5,5,160,-1.3077261071456103
C_imp_asc,0.03,5,5,161,-1.7865879410191567
C_imp_asc,0.03,5,5,162,-2.147040367126465
C_imp_asc,0.03,5,5,163,-1.5326751909757927
C_imp_asc,0.03,5,5,164,-1.329235378064606
C_imp_asc,0.03,5,5,165,-1.7451030706104476
C_imp_asc,0.03,5,5,166,-1.5071159162019434
C_imp_asc,0.03,5,5,167,-1.5531918375115659
C_imp_asc,0.03,5,5,168,-0.7915039564433854
C_imp_asc,0.03,5,5,169,-0.95756048905222
C_imp_asc,0.03,5,5,170,-1.6971391627663053
C_imp_asc,0.03,5,5,171,-1.6783452786897364
C_imp_asc,0.03,5,5,172,-1.319470254998457
C_imp_asc,0.03,5,5,173,-1.2048075826544498
C_imp_asc,0.03,5,5,174,-1.6231568236100067
C_imp_asc,0.03,5,5,175,-1.2695043463455988
C_imp_asc,0.03,5,5,176,-1.815028993706953
C_imp_asc,0.03,5,5,177,-1.0748904880724481
C_imp_asc,0.03,5,5,178,-1.5180681881151692
C_imp_asc,0.03,5,5,179,-1.5478985435084276
C_imp_asc,0.03,5,5,180,-1.5086746215820312
C_imp_asc,0.03,5,5,181,-1.4452719939382472
C_imp_asc,0.03,5,5,182,-0.7833350332159768
C_imp_asc,0.03,5,5,183,-1.6737271359092318
C_imp_asc,0.03,5,5,184,-1.770706126564427
C_imp_asc,0.03,5,5,185,-1.7702840503893391
C_imp_asc,0.03,5,5,186,-1.3582157084816409
C_imp_asc,0.03,5,5,187,-1.211651852256372
C_imp_asc,0.03,5,5,188,-0.9318732713398177
C_imp_asc,0.03,5,5,189,-0.9387507187692741
C_imp_asc,0.03,5,5,190,-1.4546017395822624
C_imp_asc,0.03,5,5,191,-0.7061588764190674
C_imp_asc,0.03,5,5,192,-2.7210790232608204
C_imp_asc,0.03,5,5,193,-1.1143901975531332
C_imp_asc,0.03,5,5,194,-1.802295283267373
C_imp_asc,0.03,5,5,195,-1.4045860892847983
C_imp_asc,0.03,5,5,196,-0.9816731402748502
C_imp_asc,0.03,5,5,197,-1.2549837012040008
C_imp_asc,0.03,5,5,198,-0.9217997601157748
C_imp_asc,0.03,5,5,199,-1.5188023918553402
C_imp_asc,0.05,8,8,0,-1.756996706912389
C_imp_asc,0.05,8,8,1,-1.6521241037469174
C_imp_asc,0.05,8,8,2,-2.0011736217298015
C_imp_asc,0.05,8,8,3,-1.1361097034655145
C_imp_asc,0.05,8,8,4,-1.7775954196327604
C_imp_asc,0.05,8,8,5,-1.5307835528725064
C_imp_asc,0.05,8,8,6,-0.8566651595266244
C_imp_asc,0.05,8,8,7,-0.642907694766393
C_imp_asc,0.05,8,8,8,-1.4443909745467334
C_imp_asc,0.05,8,8,9,-2.0990575489244954
C_imp_asc,0.05,8,8,10,-0.24193517785323237
C_imp_asc,0.05,8,8,11,-1.3726408105147527
C_imp_asc,0.05,8,8,12,-1.6497623543990265
C_imp_asc,0.05,8,8,13,-1.0465853841681234
C_imp_asc,0.05,8,8,14,-2.17154558081376
C_imp_asc,0.05,8,8,15,-2.0869956267507455
C_imp_asc,0.05,8,8,16,-0.658629266839279
C_imp_asc,0.05,8,8,17,-0.9038828799599106
C_imp_asc,0.05,8,8,18,-1.866615496183698
C_imp_asc,0.05,8,8,19,-2.1570599204615526
C_imp_asc,0.05,8,8,20,-1.1907016352603286
C_imp_asc,0.05,8,8,21,-1.4706309469122623
C_imp_asc,0.05,8,8,22,-2.191105365753174
C_imp_asc,0.05,8,8,23,-1.116562642549214
C_imp_asc,0.05,8,8,24,-1.2782150067781153
C_imp_asc,0.05,8,8,25,-1.0885239149394792
C_imp_asc,0.05,8,8,26,-1.3821324047289387
C_imp_asc,0.05,8,8,27,-1.148325970298366
C_imp_asc,0.05,8,8,28,-2.10306257950632
C_imp_asc,0.05,8,8,29,-1.4072556746633431
C_imp_asc,0.05,8,8,30,-1.0410597449854784
C_imp_asc,0.05,8,8,31,-1.9326315428081315
C_imp_asc,0.05,8,8,32,-2.250236310456927
C_imp_asc,0.05,8,8,33,-0.7004758433291798
C_imp_asc,0.05,8,8,34,-1.340547360871966
C_imp_asc,0.05,8,8,35,-1.0232181549072266
C_imp_asc,0.05,8,8,36,-0.5576070484362177
C_imp_asc,0.05,8,8,37,-0.8555092058683726
C_imp_asc,0.05,8,8,38,-1.4766524967394403
C_imp_asc,0.05,8,8,39,-0.46859485224673847
C_imp_asc,0.05,8,8,40,-1.05255342784681
C_imp_asc,0.05,8,8,41,-1.1240375920345933
C_imp_asc,0.05,8,8,42,-1.0485557254992024
C_imp_asc,0.05,8,8,43,-1.6500099583675976
C_imp_asc,0.05,8,8,44,-1.8348985471223536
C_imp_asc,0.05,8,8,45,-1.489763962595088
C_imp_asc,0.05,8,8,46,-1.5710131494622495
C_imp_asc,0.05,8,8,47,-0.8734663913124479
C_imp_asc,0.05,8,8,48,-2.2025695600007715
C_imp_asc,0.05,8,8,49,-1.0600644161826658
