model,seed,group,ratio,k,k_actual,mean_abs_delta,median_abs_delta,n_eval_trials,n_cal_pairs,n_eval_pairs,n_cell_hihp,n_cell_hilp,n_cell_C,n_cell_D
llama-3.1-8b-instruct,45,hihp_imp_desc,0.2,205,205,3.669921875,3.25,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.3,308,308,5.04814453125,4.375,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_desc,0.5,512,332,5.23115234375,4.5,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.01,11,11,0.07122395833333334,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.03,31,31,0.18268229166666666,0.125,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.05,52,52,0.487109375,0.5,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.07,72,72,0.539453125,0.5,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.1,103,103,0.5833333333333334,0.625,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.12,123,123,0.4171875,0.375,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.15,154,154,2.184765625,2.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.175781,180,180,2.6608072916666665,2.25,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.2,205,205,1.3334635416666667,1.25,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.3,308,308,4.62080078125,4.0625,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hihp_imp_asc,0.5,512,332,5.23115234375,4.5,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.01,11,11,0.042708333333333334,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.03,31,31,0.04309895833333333,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.05,52,52,0.049479166666666664,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.07,72,72,0.0484375,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.1,103,103,0.046484375,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.12,123,123,0.048567708333333334,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.15,154,154,0.0515625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.175781,180,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.2,205,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.3,308,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_desc,0.5,512,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.01,11,11,0.039453125,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.03,31,31,0.042578125,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.05,52,52,0.04401041666666667,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.07,72,72,0.045703125,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.1,103,103,0.049609375,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.12,123,123,0.06002604166666667,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.15,154,154,0.050520833333333334,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.175781,180,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.2,205,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.3,308,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,hilp_imp_asc,0.5,512,180,0.05390625,0.0,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.01,11,11,0.38255208333333335,0.25,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.03,31,31,1.5990234375,1.125,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.05,52,52,1.7125651041666667,1.125,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.07,72,72,2.1576497395833334,1.5,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.1,103,103,3.49990234375,2.625,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.12,123,123,3.793229166666667,2.75,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.15,154,154,4.425455729166667,3.375,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.175781,180,180,4.43994140625,3.375,960,20,80,332,180,180,332
llama-3.1-8b-instruct,45,C_imp_asc,0.2,205,180,4.43994140625,3.375,960,20,80,332,180,180,332
