group,ratio,k,k_actual,trial_id,delta_target_signed,delta_target_abs
diag_zscore_asc,0.01,18048,18048,5,-0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,6,0.0,0.0
diag_zscore_asc,0.01,18048,18048,7,-0.006836,0.006836
diag_zscore_asc,0.01,18048,18048,8,0.0,0.0
diag_zscore_asc,0.01,18048,18048,9,0.001953,0.001953
diag_zscore_asc,0.01,18048,18048,10,-0.006104,0.006104
diag_zscore_asc,0.01,18048,18048,11,0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,12,0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,13,0.001953,0.001953
diag_zscore_asc,0.01,18048,18048,14,0.012695,0.012695
diag_zscore_asc,0.01,18048,18048,15,-0.002441,0.002441
diag_zscore_asc,0.01,18048,18048,16,0.015625,0.015625
diag_zscore_asc,0.01,18048,18048,17,0.003906,0.003906
diag_zscore_asc,0.01,18048,18048,18,0.006836,0.006836
diag_zscore_asc,0.01,18048,18048,19,0.001953,0.001953
diag_zscore_asc,0.01,18048,18048,20,0.0,0.0
diag_zscore_asc,0.01,18048,18048,21,-0.023438,0.023438
diag_zscore_asc,0.01,18048,18048,22,0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,23,-0.003906,0.003906
diag_zscore_asc,0.01,18048,18048,24,0.003906,0.003906
diag_zscore_asc,0.01,18048,18048,25,-0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,26,0.023438,0.023438
diag_zscore_asc,0.01,18048,18048,27,0.005859,0.005859
diag_zscore_asc,0.01,18048,18048,28,0.001953,0.001953
diag_zscore_asc,0.01,18048,18048,29,0.000977,0.000977
diag_zscore_asc,0.01,18048,18048,30,-0.000977,0.000977
diag_zscore_asc,0.01,18048,18048,31,0.0,0.0
diag_zscore_asc,0.01,18048,18048,32,0.0,0.0
diag_zscore_asc,0.01,18048,18048,33,-0.006348,0.006348
diag_zscore_asc,0.01,18048,18048,34,0.004639,0.004639
diag_zscore_asc,0.01,18048,18048,35,0.006836,0.006836
diag_zscore_asc,0.01,18048,18048,36,0.015625,0.015625
diag_zscore_asc,0.01,18048,18048,37,0.0,0.0
diag_zscore_asc,0.01,18048,18048,38,-0.012695,0.012695
diag_zscore_asc,0.01,18048,18048,39,0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,40,0.001953,0.001953
diag_zscore_asc,0.01,18048,18048,41,-0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,42,0.007812,0.007812
diag_zscore_asc,0.01,18048,18048,43,-0.01123,0.01123
diag_zscore_asc,0.01,18048,18048,44,-0.003906,0.003906
diag_zscore_asc,0.01,18048,18048,45,-0.003906,0.003906
diag_zscore_asc,0.01,18048,18048,46,0.015625,0.015625
diag_zscore_asc,0.01,18048,18048,47,0.001953,0.001953
diag_zscore_asc,0.01,18048,18048,48,-0.046875,0.046875
